id,slug,title,parent_id,classified_type,has_h5p,has_audio,toggle_count,divi_modules_used,notes
506,desnutricao-e-obesidade-na-infancia,Desnutrição e Obesidade na Infância,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2143,diabetes,Diabetes,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
455,diabetes-da-gestacao,Diabetes da Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
509,diarreia-e-desidratacao,Diarreia e Desidratação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2086,dislipidemias,Dislipidemias,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
2333,disturbio-da-hemostasia-primaria,Distúrbio da Hemostasia Primária,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2336,disturbio-da-hemostasia-secundaria,Distúrbio da Hemostasia Secundária,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
1351,disturbio-do-desenvolvimento-sexual,Distúrbio do Desenvolvimento Sexual,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
513,disturbios-do-crescimento-e-desenvolvimento,Distúrbios do Crescimento e Desenvolvimento,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2271,disturbios-hidroeletroliticos,Distúrbios Hidroeletrolíticos,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
2416,diverticulite,Diverticulite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2363,doenca-de-chagas,Doença de Chagas,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2251,doenca-de-parkinson,Doença de Parkinson,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
2299,doenca-do-refluxo-gastroesofagico,Doença do Refluxo Gastroesofágico,2292,h5p-quiz,1,0,0,"column,heading,row,section,text",
428,doenca-inflamatoria-pelvica,Doença Inflamatória Pélvica,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2275,doenca-renal-cronica,Doença Renal Crônica,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
1356,doencas-benignas-da-mama,Doenças Benignas da Mama,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1365,doencas-benignas-do-utero,Doenças Benignas do Útero,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2147,doencas-das-adrenais,Doenças das Adrenais,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
1619,doencas-eczematosas,Doenças Eczematosas,290,h5p-quiz,1,0,0,"column,heading,row,section,text",
2037,doencas-eritematodescamativas,Doenças Eritematodescamativas,290,h5p-quiz,1,0,0,"column,heading,row,section,text",
2419,doencas-hepatobiliares,Doenças Hepatobiliares,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2302,doencas-inflamatorias-intestinais,Doenças Inflamatórias Intestinais,2292,h5p-quiz,1,0,0,"column,heading,row,section,text",
2422,doencas-orificiais,Doenças Orificiais,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1369,doencas-ovarianas,Doenças Ovarianas,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2216,doencas-pulmonares-intersticiais,Doenças Pulmonares Intersticiais,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
2219,dpoc,DPOC,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
2174,efeitos-do-alcool-e-abstinencia,Efeitos do Álcool e Abstinência,2170,h5p-quiz,1,0,0,"column,heading,row,section,text",
3777,emergencia-flashcards,Emergência Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
2178,emergencias-psiquiatricas,Emergências Psiquiátricas,2170,h5p-quiz,1,0,0,"column,heading,row,section,text",
4999,endocardite-infecciosa,Endocardite Infecciosa,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
3781,endocrinologia-flashcards,Endocrinologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
4642,endocrinologia-memorecards,Endocrinologia Memorecards,4313,h5p-quiz,1,0,0,"column,heading,row,section,text",
4582,endocrinologia-revalida-up,Endocrinologia Revalida up,4308,h5p-quiz,1,0,0,"column,heading,row,section,text",
436,endometriose,Endometriose,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2254,epilepsias,Epilepsias,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
1432,estenose-hipertrofica-do-piloro,Estenose Hipertrófica do Piloro,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
10920,estudos-epidemiologicos,Estudos Epidemiológicos,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
577,etica-medica,Ética Médica / Medicina Legal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2042,faramacodermias,Farmacodermias,290,h5p-quiz,1,0,0,"column,heading,row,section,text",
1436,faringoamigdalite-estreptococica,Faringoamigdalite Estreptocócica,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2119,febre-reumatica,Febre Reumática,2105,h5p-quiz,1,0,0,"column,heading,row,section,text",
2426,feridas-cirurgicas,Feridas Cirúrgicas,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2122,fibromialgia,Fibromialgia,2105,h5p-quiz,1,0,0,"column,heading,row,section,text",
10712,fisiologia-menstrual,Fisiologia Menstrual,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
3784,gastroenterologia-flashcards,Gastroenterologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
1397,gestacao-ectopica,Gestação Ectópica,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2366,hanseniase,Hanseníase,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
3787,hematologia-flashcards,Hematologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
380,hemorragia-digestiva,Hemorragia Digestiva,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2305,hepatites-virais,Hepatites Virais,2292,h5p-quiz,1,0,0,"column,heading,row,section,text",
2431,hernias,Hérnias,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2089,hipertensao-arterial,Hipertensão Arterial,1614,h5p-quiz,1,0,0,"column,heading,row,section,text",
2257,hipertensao-intracraniana,Hipertensão Intracraniana,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
2153,hipotireoidismo,Hipotireoidismo,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
2369,hiv,HIV,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
1372,hpv-e-cancer-de-colo-uterino,HPV e Câncer de Colo Uterino,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
528,ictericia-neonatal,Icterícia neonatal,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
532,imunizacoes,Imunizações,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2373,infeccao-do-trato-urinario,Infecção do Trato Urinário,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
471,infeccao-urinaria-na-gestacao,Infecção Urinária na Gestação,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2260,infeccoes-neurologicas,Infecções Neurológicas,2234,h5p-quiz,1,0,0,"column,heading,row,section,text",
3790,infectologia-flashcards,Infectologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
1080,injuria-renal-aguda,Injúria Renal Aguda,1116,h5p-quiz,1,0,0,"column,heading,row,section,text",
1713,intoxicacoes-exogenas,Intoxicações Exógenas,1700,h5p-quiz,1,0,0,"column,heading,row,section,text",
1439,invaginacao-intestinal-em-lactente,Invaginação Intestinal em Lactente,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
475,isoimunizacao-rh,Isoimunização RH,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1442,laringite-viral-crupe,Laringite Viral (crupe),261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2376,leishmaniose,Leishmaniose,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2379,leptospirose,Leptospirose,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
2339,leucemias,Leucemias,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2342,linfomas,Linfomas,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2128,lupus,Lupus,2105,h5p-quiz,1,0,0,"column,heading,row,section,text",
2181,luto,Luto,2170,h5p-quiz,1,0,0,"column,heading,row,section,text",
2382,malaria,Malária,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
1445,malformacoes-congenitas,Malformações Congênitas,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1450,manejo-inicial-do-desconforto-respiratorio-no-recem-nascido,Manejo Inicial do Desconforto Respiratório no Recém-Nascido,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
540,maus-tratos-e-prevencoes-de-acidentes-na-infancia,Maus Tratos e Prevenções de Acidentes na Infância,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
1401,mecanismo-de-parto,Mecanismo de Parto,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
584,medicina-do-trabalho,Medicina do Trabalho,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2045,micoses,Micoses,290,h5p-quiz,1,0,0,"column,heading,row,section,text",
2345,mieloma-multiplo,Mieloma Múltiplo,2318,h5p-quiz,1,0,0,"column,heading,row,section,text",
2385,mononucleose,Mononucleose,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
3793,nefrologia-flashcards,Nefrologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
2048,neoplasias-em-dermatologia,Neoplasias em Dermatologia,290,h5p-quiz,1,0,0,"column,heading,row,section,text",
3796,neurologia-flashcards,Neurologia Flashcards,3767,h5p-quiz,1,0,0,"column,heading,row,section,text",
2222,nodulo-e-cancer-de-pulmao,Nódulo e Câncer de Pulmão,2199,h5p-quiz,1,0,0,"column,heading,row,section,text",
2156,nodulo-e-cancer-de-tireoide,Nódulo e Câncer de Tireoide,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
2159,osteoporose,Osteoporose,2141,h5p-quiz,1,0,0,"column,heading,row,section,text",
2434,pancreatite,Pancreatite,261,h5p-quiz,1,0,0,"column,heading,row,section,text",
2054,parasitoses-cutaneas,Parasitoses Cutâneas,290,h5p-quiz,1,0,0,"column,heading,row,section,text",
2388,parasitoses-intestinais,Parasitoses Intestinais,2354,h5p-quiz,1,0,0,"column,heading,row,section,text",
